scenario,ts_ms,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_ltv_coupled_book,1605654000000,2020-11-17,2,0,2,True,-0.1522142667727393,1.4506567994988322,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605740400000,2020-11-18,3,0,3,True,0.0,1.4506567994988322,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605826800000,2020-11-19,3,0,3,True,0.0,1.4506567994988322,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605913200000,2020-11-20,4,0,4,True,0.0,1.368439675900027,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605999600000,2020-11-21,4,0,4,True,0.13260115057290922,1.4625523674018748,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606086000000,2020-11-22,4,0,4,True,-0.09688523213835942,1.1400275636216557,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606172400000,2020-11-23,3,0,3,True,0.05912429115924511,1.1859676646268806,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606258800000,2020-11-24,1,0,1,True,-0.07693320459931541,1.339444258065812,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606345200000,2020-11-25,2,0,2,True,0.0,1.339444258065812,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606431600000,2020-11-26,2,0,2,False,0.0,0.9254195909953777,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606518000000,2020-11-27,3,0,3,False,0.0,0.6958023399610237,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606604400000,2020-11-28,4,0,4,False,0.0,0.5083251052393769,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606690800000,2020-11-29,5,0,5,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606777200000,2020-11-30,5,0,5,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606863600000,2020-12-01,5,0,5,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1606950000000,2020-12-02,4,0,4,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607036400000,2020-12-03,3,0,3,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607122800000,2020-12-04,4,0,4,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607209200000,2020-12-05,5,0,5,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607295600000,2020-12-06,6,0,6,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607382000000,2020-12-07,7,0,7,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607468400000,2020-12-08,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607554800000,2020-12-09,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607641200000,2020-12-10,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607727600000,2020-12-11,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607814000000,2020-12-12,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607900400000,2020-12-13,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1607986800000,2020-12-14,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608073200000,2020-12-15,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608159600000,2020-12-16,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608246000000,2020-12-17,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608332400000,2020-12-18,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608418800000,2020-12-19,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608505200000,2020-12-20,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608591600000,2020-12-21,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608678000000,2020-12-22,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608764400000,2020-12-23,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608850800000,2020-12-24,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1608937200000,2020-12-25,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609023600000,2020-12-26,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609110000000,2020-12-27,11,0,11,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609196400000,2020-12-28,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609282800000,2020-12-29,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609369200000,2020-12-30,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609455600000,2020-12-31,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609542000000,2021-01-01,4,0,4,True,0.2221190207656074,1.2736832289745355,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609628400000,2021-01-02,0,0,0,True,-0.18174909071168777,2.01387001055865,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609714800000,2021-01-03,1,0,1,True,0.0,2.01387001055865,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1609801200000,2021-01-04,1,0,1,True,0.0,2.01387001055865,0,0,0,,,0,0.0,0.0,0.0
