scenario,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_lending_liquidation,2012-05-07,128,0,128,False,0.0007299715585082911,0.17009443903464777,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-08,129,0,129,False,-0.004011692394401023,0.16097999357469445,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-09,130,0,130,False,-0.005931875067675563,0.14612781611545111,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-10,131,0,131,False,-0.0020211015863613735,0.14950161640725385,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-11,132,0,132,False,-0.003014289437075046,0.054782640115571504,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-14,133,0,133,False,-0.013308023212311504,0.09120558509122921,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-15,134,0,134,False,-0.005741587271318682,0.08951497405168504,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-16,135,0,135,False,-0.007206248426087636,0.09155680324030852,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-17,136,0,136,False,-0.02268308445091849,0.12477354148561547,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-18,137,0,137,False,-0.012984892535873982,0.11216281506005148,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
