scenario,note_id,entry_index,issue_date,event_date_utc,step_day,live_notes_before,worst_close_ratio,worst_low_ratio,knock_in_triggered,note_liability_usdc,buyback_price_usdc,borrow_amount_usdc,current_ltv,current_assets_usdc,hedge_cash_usdc,hedge_inventory_mark_usdc,unwind_cost_usdc,available_after_unwind_usdc,buffer_usdc,coverage_ratio,return_1d,vol_5d_ann,stress_day,trigger_reason,unwind_multiplier,spy_units,qqq_units
stress_concentration_coupled_book,2019-12-02,3434,2019-12-02,2020-03-16,71,25,0.6468568647689722,0.6331855843642707,True,65.32214631903344,55.322146319033436,49.0,0.8857212393283751,96.50954283914577,13.591109302802849,82.91843353634292,1.8834531561896288,94.58463046618797,39.26248414715454,1.7097064513862938,-0.13266927523370953,1.2963657306288363,True,stress_day_forced_fraction,3.0,0.3587376706221196,0.0
stress_concentration_coupled_book,2019-12-03,3435,2019-12-03,2020-03-17,71,19,0.6786698880091981,0.6300726780131618,True,68.3057945905655,58.3057945905655,49.0,0.840396745196381,96.44306000224508,0.225709610987973,96.2173503912571,1.8968894581803375,94.49806186886912,36.19226727830362,1.6207319106523232,0.04584057010321474,1.3632322376696713,True,stress_day_forced_fraction,3.0,0.3949521953288788,0.0
stress_concentration_coupled_book,2019-02-25,3239,2019-02-25,2020-03-17,267,19,0.6850622736839669,0.6360073269966452,True,68.51031041536693,58.51031041536693,49.0,0.8374592384170777,99.90256220113687,11.591576075359024,88.31098612577784,3.6888210008409805,96.16958570723303,37.659275291866095,1.6436348572503112,0.04584057010321474,1.3632322376696713,True,stress_day_forced_fraction,3.0,0.322209159420866,0.05626198920529535
stress_concentration_coupled_book,2019-11-21,3428,2019-11-21,2020-03-17,78,19,0.6870602021303488,0.6378621906776951,True,68.83195098180151,58.83195098180151,49.0,0.832880759218017,96.26060945183404,9.75679589895753,86.50381355287651,1.887074515650363,94.33028302940725,35.49833204760574,1.6033852601384313,0.04584057010321474,1.3632322376696713,True,stress_day_forced_fraction,3.0,0.35508014851896225,0.0
stress_concentration_coupled_book,2020-02-25,3491,2020-02-25,2020-03-17,15,19,0.6933018005195662,0.6436568497330908,True,69.04496569433968,59.04496569433968,49.0,0.8298760008373984,95.5659641685113,23.316045506488894,72.24991866202241,1.8726824333193552,93.65715677586094,34.61219108152126,1.586200545203117,0.04584057010321474,1.3632322376696713,True,stress_day_forced_fraction,3.0,0.29657087699737333,0.0
stress_concentration_coupled_book,2019-11-22,3429,2019-11-22,2020-03-17,77,19,0.6849323847205343,0.6358867389339061,True,69.42850733029138,59.42850733029138,49.0,0.8245201200775263,96.42939495179195,1.2800823940248123,95.14931255776713,1.8958099958182923,94.48601029969478,35.0575029694034,1.5899105419989945,0.04584057010321474,1.3632322376696713,True,stress_day_forced_fraction,3.0,0.3905681223387595,0.0
stress_concentration_coupled_book,2020-02-26,3492,2020-02-26,2020-03-18,15,15,0.6470550240822208,0.6229773462783171,True,64.78735970654462,54.78735970654462,49.0,0.8943668806538,98.54057748621982,8.098638438904413,90.4419390473154,1.8910530714980676,96.6043034451981,41.81694373865348,1.7632589700003054,-0.07751223874674906,1.354986396044848,True,stress_day_forced_fraction,3.0,0.3910474174572318,0.0
stress_concentration_coupled_book,2020-03-02,3495,2020-03-02,2020-03-18,12,15,0.6619214859876366,0.6372906096665738,True,66.06581304342167,56.06581304342167,49.0,0.8739728783037649,92.95608651467691,7.497232728709527,85.45885378596739,1.8860189872484399,91.0273381005355,34.96152505711383,1.6235800955929587,-0.07751223874674906,1.354986396044848,True,stress_day_forced_fraction,3.0,0.36950185305485983,0.0
stress_concentration_coupled_book,2020-03-04,3497,2020-03-04,2020-03-18,10,15,0.6570057755959261,0.6325578186350164,True,66.3000667198464,56.3000667198464,49.0,0.8703364463816338,97.20504192385033,19.473476859535303,77.73156506431502,1.8782156720476453,95.28796046927053,38.98789374942413,1.6925017326077247,-0.07751223874674906,1.354986396044848,True,stress_day_forced_fraction,3.0,0.3360910667495407,0.0
stress_concentration_coupled_book,2020-02-27,3493,2020-02-27,2020-03-18,14,15,0.6706695482227287,0.6457131462260037,True,67.08673872723125,57.08673872723125,49.0,0.8583429548170396,98.10151218264349,0.5226878772404542,97.57882430540303,1.8982655918834281,96.15445717860736,39.06771845137611,1.6843571610921295,-0.07751223874674906,1.354986396044848,True,stress_day_forced_fraction,3.0,0.42190545276985036,0.0
stress_concentration_coupled_book,2020-03-03,3496,2020-03-03,2020-03-19,12,12,0.7020615403116177,0.6467725881392331,True,70.86039424532305,60.86039424532305,49.0,0.805121304382045,95.07323521655789,8.37926915135112,86.69396606520677,1.8872665985872534,93.14262163493802,32.282227389614974,1.5304307964139712,0.002124977111816362,1.2958490064289674,True,stress_day_forced_fraction,3.0,0.3740495417511905,0.0
stress_concentration_coupled_book,2020-02-28,3494,2020-02-28,2020-03-19,14,12,0.7098339468792269,0.6539328999112919,True,71.02175139593848,61.02175139593848,49.0,0.8029923573000131,97.55771547916274,14.626837232196642,82.9308782469661,1.8834657243960795,95.63278431564319,34.61103291970471,1.5671917329139191,0.002124977111816362,1.2958490064289674,True,stress_day_forced_fraction,3.0,0.35781333365195905,0.0
stress_concentration_coupled_book,2020-03-05,3498,2020-03-05,2020-03-19,10,12,0.7050637902697571,0.6495384040459197,True,71.17612417210677,61.17612417210677,49.0,0.8009660739890667,100.72252688210023,31.848655551701288,68.87387133039894,3.669257163653951,97.01883278278108,35.84270861067431,1.5858937468780798,0.002124977111816362,1.2958490064289674,True,stress_day_forced_fraction,3.0,0.2875531084741857,0.013089368591882589
stress_concentration_coupled_book,2020-03-06,3499,2020-03-06,2020-03-20,10,10,0.7022161067303732,0.6956371273827858,True,70.14954457055407,60.14954457055407,49.0,0.8146362595069044,102.37230441855513,27.92163980627526,74.45066461227987,1.8749036534083672,100.46017543284064,40.31063086228657,1.6701735008983003,-0.04868816981634938,1.1323926850654273,True,stress_day_forced_fraction,3.0,0.33766692440814655,0.0
stress_concentration_coupled_book,2020-03-10,3501,2020-03-10,2020-03-20,8,10,0.7542959685375852,0.7472290591468518,True,75.29634935499085,65.29634935499085,49.0,0.7504248014480267,98.39582520277298,37.33564283117547,61.06018237159751,3.6613795152276434,94.70391559635956,29.407566241368713,1.4503707562805879,-0.04868816981634938,1.1323926850654273,True,stress_day_forced_fraction,3.0,0.2687097852630536,0.011092578534122488
stress_concentration_coupled_book,2020-03-09,3500,2020-03-09,2020-03-20,9,10,0.7778459730831497,0.7705584264953257,True,77.50728431952058,67.50728431952058,49.0,0.7258475954695016,97.06704223668766,15.647504248795455,81.4195379878922,1.881939457666591,95.14439301002712,27.637108690506537,1.4093944671170089,-0.04868816981634938,1.1323926850654273,True,stress_day_forced_fraction,3.0,0.3692738691088753,0.0
stress_concentration_coupled_book,2020-03-11,3502,2020-03-11,2020-04-01,15,15,0.8473149506619749,0.8383381083719517,True,80.53788646172026,70.0,49.0,0.7,114.0191123952126,48.88984877661528,65.12926361859732,1.8654977939489077,112.1210499694544,42.121049969454404,1.6017292852779201,-0.06814603778396677,0.7208417698749248,True,stress_day_forced_fraction,3.0,0.2745825843608234,0.0
stress_concentration_coupled_book,2020-03-12,3503,2020-03-12,2020-04-01,14,15,0.9525766053344301,0.9424845729106279,False,88.00004121979588,70.0,49.0,0.7,108.8787495789142,46.72349104763309,62.155258531281106,3.6624393838439833,105.18523256580457,35.18523256580457,1.5026461795114938,-0.06814603778396677,0.7208417698749248,True,stress_day_forced_fraction,3.0,0.22311963171940452,0.05287743439335232
stress_concentration_coupled_book,2020-03-13,3504,2020-03-13,2020-04-01,13,15,0.8927764507599764,0.8833179685362674,False,84.43117273215698,70.0,49.0,0.7,118.9335603479714,61.91682521294142,57.01673513502998,3.6572719880673854,115.24777999233652,45.24777999233652,1.646396857033379,-0.06814603778396677,0.7208417698749248,True,stress_day_forced_fraction,3.0,0.21061486432034293,0.04043525596777045
